locus	gene_name	gene_function	gene_product	synonyms	regulon	operon	sigma_factor	regulator	regulatory_mechanism	regulation_sign	metabolite	metabolite_sign	annotation
BSU08490	yfhD	survival of ethanol  stress and low temperatures	unknown	yfhD	SigF|	yfhFED	sigB|sigF|sigG|	SpoVT|	TF|	1|	nan|	nan|	conserved hypothetical protein
BSU13900	ptsH	PTS-dependent sugar transport and carbon catabolite repression	histidine-containing phosphocarrier protein HPr of the PTS	ptsH|HPr	SigM|SigE|SigB|stringent response|	ptsGHI	sigA|	stringent response|GlcT|	Nan|P-AT+PTS|	-1|1|	NaN|Glucose::extracellular|	nan|1|	histidine-containing phosphocarrier protein of the phosphotransferase system (PTS) (HPr protein)
new_2989552_2990726	S1105	The antisense RNA of yeeA	independent transcript	S1105
BSU27930	spo0B	initiation of sporulation	sporulationinitiation phosphotransferase	spo0B|spo0D	SigA|	spo0B-obg	sigA|						sporulation initiation phosphotransferase
BSU10530	ntdC	synthesis of the antibiotic kanosamine	NAD-dependent glucose-6-phosphate dehydrogenase	ntdC|yhjJ	NtdR|	ntdABC-glcP	sigA|sigE|	NtdR|GerR|	TF+M|TF|	1|-1|	3-3-neotrehalosadiamine| @|	1|nan|	"biosynthesis of neotrehalosadiamine (3,3'-diamino-3,3'-dideoxy-alpha,beta-trehalose), dehydrogenase"
new_2664732_2666054	S975	The antisense RNA of yeeC	independent transcript	S975
BSU11140	yitU	"dephosphorylation of the riboflavin precursor, 5-amino-6-ribitylamino-2,4(1H,3H)-pyrimidinedione 5'-phosphate (minor activity)"	unknown	yitU	SigA|SigA|SigG|								putative phosphatase
new_3622048_3622137_c	S1345		5'UTR of swrAA/2	S1345
BSU06440	purB	purine biosynthesis	adenylsuccinate lyase	purB	G-box|	purEKBCSQLFMNHD	sigA|	PurR|G-box-HXTX|G-box-GUA|	TF+M|riboswitch|riboswitch|	-1|1|1|	PRPP|Hypoxanthine|Guanine|	-1|-1|-1|	adenylosuccinate lyase
BSU36050	cotB	resistance of the spore	spore coat protein (outer)	cotB	spxA|SigE|SigG|SpoIIID|	cotB	sigK|sigE|	GerR|GerE|	TF|TF|	1|1|	 @| @|	nan|nan|	spore coat protein (outer)
new_204891_204975	S71		intergenic region	S71
BSU02390	ilvE	biosynthesis of branched-chain amino acids	branched-chain amino acid aminotransferase	ybgE		ybgE		CodY|	TF+M|	-1|	GTP isoleucine valine|	1 1 1|	ketomethiobutyrate-branched-chain/aromatic amino acid aminotransferase
BSU11610	ppnKA	generation of NADP from NAD	inorganic polyphosphate/ATP-NAD kinase	nadF|yjbN|ppnK|ppnKA									inorganic polyphosphate/ATP-NAD kinase
new_2305036_2305183_c	S824		5'UTR of bsaA	S824
new_49987_50086	S27		5'UTR of rnmV	S27
BSU36810	atpD	ATP synthesis	ATP synthase (subunit beta))	atpD	stringent response|	Op32		stringent response|	Nan|	-1|	NaN|	nan|	"ATP synthase (subunit beta, component F1)"
BSU16160	clpY	protein degradation	"two-component ATP-dependent protease, ATPase subunit"	clpY|hslU|codX	SigA|SigA|CodY|	codV-clpQY-codY	sigA|	CodY|	TF+M|	-1|	GTP isoleucine valine|	1 1 1|	two-component ATP-dependent protease (ATPase and chaperone)
new_1655586_1655958	S574	The antisense RNA of yezE	intergenic region	S574
BSU23250	ribH	riboflavin biosynthesis	riboflavin synthase (beta subunit)	ribH	FMN-box|	ypuE-ribDEAHT	sigK|sigA|	FMN-box|	riboswitch|	-1|	Riboflavin-5-phosphate|	-1|	"6,7-dimethyl-8-ribityllumazine synthase, beta subunit"
BSU26050	yqdB	toxin	toxic peptide	txpA|yqcR		txpA	sigA|	ratA|	antisense RNA|	-1|	 @|	nan|	"hypothetical protein, skin element"
new_3213329_3216149	S1191	The antisense RNA of cotJA	3'UTR of tgl	S1191
BSU34430	racX	production of non-canonical D-amino acids	amino acid racemase	racX	SigA|SigW|	pbpE-racX	sigW|	AbrB|	TF|	-1|	 @|	nan|	amino acid racemase
new_210947_211412	S75		intergenic region	S75
BSU16710	mlpA	control of proteolyticc activity	specific processing protease	mlpA|ymxG			sigE|	SpoIIID|	TF|	-1|	nan|	nan|	specific processing protease
BSU15830	yloU	unknown	unknown	yloU									conserved hypothetical protein
new_579354_579540	S186		5'UTR of aseR	S186
BSU11620	yjbO	RNA modification	putative pseudouridylate synthase	yjbO			sigG|						pseudouridylate synthase
BSU28990	dnaB	[[category|SW 3.1.1]]	initiation of chromosome replication/ membrane attachment protein	dnaB									"helicase loading protein, replication initiation membrane attachment protein"
BSU06640	yerI	unknown	unknown	yerI	SigE|SigW|SpoIIID|SigV|AbrB|			AbrB|	TF|	-1|	 @|	nan|	putative kinase
new_785976_786536_c	S249		independent transcript	S249
BSU00880	disA	control of sporulation initiation	"DNA integrity scanning protein, has diadenylate cyclase activity"	disA|yacK	SigG|SigF|	ctsR-mcsAB-clpC-radA-yacK	sigM|sigF|sigB|sigA|	CtsR|	TF+unstability|	-1|	HeatShock|	-1|	"DNA integrity scanning protein, cell cycle checkpoint DNA scanning protein"
BSU21650	yokB	unknown	unknown	yokB									"hypothetical protein, phage SPbeta"
new_3989098_3989183	S1492		5'UTR of yxkC	S1492
BSU28720	abfA	arabinan degradation	alpha-L-arabinofuranosidase	abfA	CcpA|	araABDLMNPQ-abfA	sigA|	CcpA|AraR|	TF+PP+M|TF+M|	-1|-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|Arabinose|"	1 1|-1|	alpha-L-arabinofuranosidase
new_663937_664318	S219		intergenic region	S219
BSU15400	ylmG	unknown	unknown	ylmG	SigM|Spo0A|			Spo0A|	TF+PP|	-1|	nan|	nan|	factor involved in shape determination
BSU24840	yqgS	biosynthesis of lipoteichoic acid	minor lipoteichoic acid synthase	yqgS									putative anion transporter and exported enzyme
BSU37140	ywjG	unknown	unknown	ywjG									putative oxidoreductase
BSU07380	yfmQ	unknown	unknown	yfmQ									conserved hypothetical protein
BSU27550	aspS	translation	aspartyl-tRNA synthetase	aspS	SdpR|SigA|T-box|	Op55		T-box-HIS|T-box-ASP|	RNA switch|RNA switch|	1|1|	tRNAhis|tRNAasp|	-1|-1|	aspartyl-tRNA synthetase
BSU39100	yxiO	unknown	unknown	yxiO	PhoP|			PhoP|	TF-TC|	1|	phosphate|	-1|	putative efflux transporter
BSU15700	coaBC	biosynthesis of coenzyme A	putative phosphopantothenoylcysteine synthetase/decarboxylase	yloI|coaBC									"Coenzyme A biosynthesis bifunctional protein CoaBC, phosphopantothenoylcysteine synthetase/decarboxylase"
BSU08580	yfhL		resistence protein (against toxic peptide [[protein|820635420B3980B620F3E3D7ACF7EDE9DC6275AD]])	yfhL	SigB|	yfhKLM	sigW|sigB|						SdpC immunity factor
new_3715928_3716008_c	S1386		intergenic region	S1386
new_2707760_2708174_c	S987		3'UTR of yrkL	S987
BSU28040	radC	DNA repair	probable DNA repair protein	radC|ysxA	Abh|ExuR|SigV|	radC	sigM|	ComK|	TF|	1|	 @|	nan|	putative DNA repair protein
BSU07670	yflI	unknown	unknown	yflI	NagR|								conserved hypothetical protein
new_3145997_3146088_c	S1174		5'UTR of mntA	S1174
new_3032910_3033040	S1131	The antisense RNA of yetF	5'UTR of ytsP	S1131
BSU01260	rplNA	translation	ribosomal protein L14	rplN				stringent response|	Nan|	-1|	NaN|	nan|	ribosomal protein L14
BSU11280	yjaU	unknown	unknown	yjaU			sigK|						conserved hypothetical protein
new_2031115_2031202_c	S694		5'UTR of yoaH	S694
BSU38850	yxkC	unknown	unknown	yxkC	TnrA|	yxkC	sigD|	TnrA|	TF+P+M|	1|	Glutamine|	-1|	conserved hypothetical protein
BSU30910	cotSA	resistance of the spore	spore coat protein	cotSA|ytxN|ytbA	SigK|	cotSA-cotS-ytxO	sigK|						spore coat protein
BSU19639	yoyE	unknown	unknown	yoyE	SigB|CsoR|YlxR|								conserved hypothetical protein
BSU32920	yusT	unknown	transcriptional regulator ([SW|LysR family])	yusT									putative transcriptional regulator (LysR family)
BSU10700	gerPC	germination	unknown	gerPC|yisF	SigK|	gerPABCDEF	sigK|	GerE|	TF|	-1|	 @|	nan|	spore germination protein
new_3317409_3317473	S1247		5'UTR of yutG	S1247
BSU24220	spo0A	initiation of sporulation	[SW|phosphorelay] response regulator	spo0A|spo0C|spo0G|spoIIL|sof-1	SigH|	spo0A	sigH|sigA|	Spo0A|SinR|	TF+PP|TF|	-1|-1|	nan|nan|	nan|nan|	response regulator
new_2982270_2982476_c	S1101		5'UTR of citZ	S1101
BSU11500	spxA	negative and positive regulator of many genes	transcriptional regulator Spx	spx|yjbD		yjbCD	sigX|sigW|sigM|sigB|sigA|	PerR|YodB|	TF+S|TF+S|	-1|-1|	Hydrogen_peroxide::stress|Quinone::stress|	-1|-1|	redox-sensitive regulator enzyme
BSU29480	ytxK	DNA modification	similar to SAM-dependent DNA-methyltransferase	ytxK|ythI	spxA|								putative nucleic acid methyltransferase
new_4031646_4031766_c	S1512		intergenic region	S1512
BSU20760	yopU	unknown	unknown	yopU									"hypothetical protein, phage SPbeta"
BSU21830	ypjQ	unknown	unknown	ypjQ									putative phosphatidylglycerophosphatase
BSU06010	ydiL	unknown	unknown	ydiL									putative membrane protease
BSU16300	fliL	movement and chemotaxis	"flagellar protein required for flagellar formation , membrane protein"	fliL	DegU|	fla-che	sigD|sigA|	Spo0A|CodY|	TF+PP|TF+M|	-1|-1|	nan|GTP isoleucine valine|	nan|1 1 1|	flagellar basal-body associated protein
new_2185422_2185503_c	S772		intergenic region	S772
BSU37710	bacD	biosynthesis of the antibiotic bacilysin	alanine-anticapsin ligase	bacD|ywfE|ipa-83d	ScoC|		sigH|	scoC|CodY|AbrB|	TF|TF+M|TF|	-1|-1|-1|	 @|GTP isoleucine valine| @|	nan|1 1 1|nan|	alanine-anticapsin ligase
BSU07880	yfkJ	survival of stress conditions	protein tyrosine phosphatase	yfkJ	SigB|	yfkJIH	sigB|sigA|						protein-tyrosine-phosphatase
BSU14770	bipA	unknown	unknown	ylaG|bipA				stringent response|	Nan|	-1|	NaN|	nan|	GTPase
new_235403_235489_c	S83		5'UTR of glpT	S83
new_549923_550239_c	S175		3'UTR of yddN	S175
BSU31930	ald	alanine utilization	L-alanine dehydrogenase	ald|spoVN	SigA|AdeR|	ald	sigA|	AdeR|	TF-M|	1|	alanine|	1|	L-alanine dehydrogenase
new_1147493_1148466_c	S379	The antisense RNA of yfmR	3'UTR of gerPF	S379
BSU30160	ytcQ	uptake of polygalacturonan and rhamnogalacturonan	polygalacturonan and rhamnogalacturonan ABC transporter (solute-binding lipoprotein)	ytcQ				CcpA|*RmgR*|	TF+PP+M|silico-TF+M|	NaN|NaN|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|unk|"	1 1|1|	putative ABC transporter (binding lipoprotein)
BSU38450	ywaE	resistance to D-Tyr	transcription factor ([SW|MarR family])	dtrR|ywaE|ipa-10r									putative transcriptional regulator (MarR family)
new_3998237_3998480_c	S1498	The antisense RNA of yfmO	independent transcript	S1498
BSU38080	ywcI	unknown	unknown	ywcI|ipa-46d	DnaA|								hypothetical protein
new_1401697_1401771	S478		5'UTR of ykoS	S478
BSU10260	yhfK	unknown	unknown	yhfK									putative epimerase
new_2307814_2307904	S828		5'UTR of cspD	S828
BSU16920	pgsA	biosynthesis of phospholipids	phosphatidylglycerophosphate synthase	pgsA|ymfN		Op223							CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase
BSU12030	yjdF	unknown	unknown	yjdF	RNA switch|			ManR|	TF+PTS|	1|	Mannose|	1|	conserved hypothetical protein
BSU06980	yesP	uptake of rhamnose oligosaccharides	rhamnose oligosaccharide ABC transporter	rhiF|yesP				YesS|CcpA|	TF+P+unk|TF+PP+M|	NaN|NaN|	"unk|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	nan|1 1|	rhamnogalacturonan permease
new_1550794_1551384	S540	The antisense RNA of yfmI	intergenic region	S540
BSU03330	nasA	nitrate uptake	nitrate transporter	nasA	TnrA|	nasA	sigA|	TnrA|GlnR|T-O2|	TF+P+M|TF+P+M|Nan|	1|-1|1|	Glutamine|Glutamine|Oxygen|	-1|1|1|	nitrate transporter
new_2456809_2456888_c	S893		5'UTR of ansA	S893
BSU02380	ybgB	unknown	unknown	ybgB	GamR|	ybgB	sigY|						hypothetical protein
BSU07330	yfnB	unknown	unknown	yfnB									putative hydrolase
new_2432916_2433315_c	S884	The antisense RNA of S257	intergenic region	S884
BSU09660	yheN	unknown	unknown	yheN									putative polysaccharide deacetylase
BSU14650	yktB	unknown	unknown	yktB									conserved hypothetical protein
BSU04980	yddI	unknown	unknown	yddI	ImmR|								"conserved hypothetical protein, mobile element region"
BSU06770	yeeB	unknown	unknown	yeeB									putative DNA helicase / endonuclease
BSU25490	hrcA	regulation of chaperone gene expression	transcriptional repressor	hrcA|yqxE|yqeS	SigA|SigA|	lepA-hemN-hrcA-grpE-dnaKJ-yqeTUV	sigA|	HrcA|ArfM|	TF+HrcA unstability|TF|	-1|NaN|	 @| @|	nan|nan|	transcriptional regulator of heat-shock genes
BSU04660	ndoA	unknown	mRNA interferase	ndoA|ydcE|mazF									endoribonuclease toxin
BSU16320	fliY	movement and chemotaxis	flagellar C ring protein	fliY|cheD	DegU|	fla-che	sigD|sigA|	Spo0A|CodY|	TF+PP|TF+M|	-1|-1|	nan|GTP isoleucine valine|	nan|1 1 1|	flagellar motor switching and energizing phosphatase
BSU32450	pucL	purine utilization	uricase	pucL|yunL	SigB|TnrA|	pucRJKLM	sigA|	TnrA|PucR|	TF+P+M|TF+M|	1|1|	Glutamine|Allantoin Urate Allantoate|	-1|1 1 1|	urate oxidase with peroxide reductase N-terminal domain
BSU06150	gutB	glucitol utilization	D-sorbitol dehydrogenase	gutB	GutR|	gutBP	sigA|	GutR|	TF+M|	1|	Sorbitol|	1|	glucitol (sorbitol) dehydrogenase
BSU26470	yrkL	unknown	unknown	yrkL									putative NAD(P)H oxidoreductase
BSU34990	lgt	lipomodification of lipoproteins	prolipoprotein diacylglyceryl transferase	lgt|gerF|yvoC	SigA|SigA|								prelipoprotein diacylglycerol transferase
BSU07810	treA	trehalose utilization	phospho-alpha-glucosidase	treA|treC	CcpA|	trePAR	sigA|	TreR|PhoP|CcpA|	TF+M|TF-TC|TF+PP+M|	-1|1|-1|	"D-trehalose-6-phosphate|phosphate|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	-1|-1|1 1|	trehalose-6-phosphate hydrolase
BSU14960	ylbC	unknown	unknown	ylbC	SigF|	ylbBC	sigF|	CcpA|	TF+PP+M|	NaN|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|	conserved hypothetical protein
BSU32330	lipA	synthesis of lipoic acid	lipoyl synthaseTrigger enzyme	lipA|yutB									lipoyl synthase (lipoic acid synthetase)
BSU08090	acoL	acetoin utilization	acetoin dehydrogenase E3 component (dihydrolipoamide dehydrogenase)	acoL|yfjH	CcpA|	acoABCL	sigL|sigK|	CcpA|AcoR|	TF+PP+M|TF+M|	-1|1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|acetoin|"	1 1|1|	acetoin dehydrogenase E3 component (dihydrolipoamide dehydrogenase)
BSU16330	cheY	modulation of flagellar switch bias	two-component response regulator	cheY|cheB	SigE|SigB|DegU|	fla-che	sigD|sigA|	Spo0A|CodY|	TF+PP|TF+M|	-1|-1|	nan|GTP isoleucine valine|	nan|1 1 1|	regulator of chemotaxis and motility
new_3996731_3996828	S1497		5'UTR of yxjJ	S1497
BSU01380	mapA	removal of N-terminal methionine from nascent proteins	methionine aminopeptidase	map|mapA				stringent response|	Nan|	-1|	NaN|	nan|	methionine aminopeptidase
BSU14600	pdhC	links glycolysis and TCA cycle	pyruvate dehydrogenase (dihydrolipoamide acetyltransferase E2 subunit)	pdhC	stringent response|	pdhABCD	sigA|	stringent response|	Nan|	-1|	NaN|	nan|	pyruvate dehydrogenase (dihydrolipoamide acetyltransferase E2 subunit)
BSU24120	prpB	mother cell metabolism	methylisocitrate lyase	mmgF|yqiQ|prpB		mmgABCDE-yqiQ	sigE|	CcpA|SpoIIID|	TF+PP+M|TF|	-1|-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|nan|"	1 1|nan|	2-methylisocitrate lyase
BSU12270	yjlB	unknown	unknown	yjlB									"conserved hypothetical protein , cupin family"
BSU27500	trmU	tRNA modification	tRNA (5-methylaminomethyl-2-thiouridylate) methyltransferase	trmU|yrrA|mnmA	stringent response|	cymR-yrvO-trmU	sigA|	stringent response|	Nan|	-1|	NaN|	nan|	tRNA (5-methylaminomethyl-2-thiouridylate) methyltransferase
BSU14430	ykpA	unknown	ABC transporter (ATP-binding protein)	ykpA									ABC efflux transporter (ATP-binding protein)
BSU10550	ntdA	synthesis of the antibiotic kanosamine	pyridoxal phosphate-dependent	ntdA|yhjL	SigA|NtdR|	ntdABC-glcP	sigA|sigE|	NtdR|GerR|	TF+M|TF|	1|-1|	3-3-neotrehalosadiamine| @|	1|nan|	"biosynthesis of neotrehalosadiamine (3,3'-diamino-3,3'-dideoxy-alpha,beta-trehalose), aminotransferase"
BSU09600	crcBA	export of flouride	flouride channel	fluC|yhdU|crcBA									integral membrane protein possibly involved in chromosome condensation
BSU36190	ywqJ	unknown	putative toxin	ywqJ									putative transposase or phage integrase
new_1744182_1744236	S597		3'UTR of ymxH	S597
BSU04990	yddJ	prevention of redundant transfer of ICEBs1 into host cells that already contain a copy of the element	ICEBs1 exclusion factor	yddJ	YodB|AbrB|			AbrB|	TF|	-1|	 @|	nan|	putative lipoprotein
new_1289139_1289257	S446		intergenic region	S446
BSU38540	dltE	biosynthesis of teichoic acid	D-alanine transfer from undecaprenol-phosphate to the poly(glycerophosphate) chain	dltE|ipa-1r	stringent response|	dltABCDE	sigX|sigM|sigD|	YvrHb|stringent response|Spo0A|	TF-TC|Nan|TF+PP|	1|-1|-1|	unk|NaN|nan|	nan|nan|nan|	putative oxidoreductase
BSU13070	ykkA	unknown	bacillithiol S-transferase	bstF|ykkA									conserved hypothetical protein
BSU12619	ykzL	unknown	unknown	ykzL									conserved hypothetical protein
BSU23510	ripX	chromosome partitioning	site-specific integrase/recombinase	ripX|ykqM									site-specific tyrosine recombinase for chromosome partitioning
new_257545_257726	S90		5'UTR of ybgA	S90
BSU11430	oppA	"initiation of sporulation, competence development"	oligopeptide ABC transporter (binding protein)	oppA|spo0KA	SigA|SigB|LexA|ScoC|	oppABCDF		TnrA|scoC|CodY|	TF+P+M|TF|TF+M|	1|-1|NaN|	Glutamine| @|GTP isoleucine valine|	-1|nan|1 1 1|	oligopeptide ABC transporter (binding lipoprotein)
BSU23650	yqkC	unknown	unknown	yqkC	LexA|								conserved hypothetical protein
BSU05940	gcp	tRNA modification	tRNA modification enzyme	tsaD|ydiE|gcp									metalloprotease
new_3823159_3823531_c	S1447		3'UTR of narI	S1447
BSU24450	efp	[[category|SW 3.3.1]]	elongation factor P	efp|yqhU|yqgF									elongation factor P
BSU38620	aag	"DNA repair, survival of stress conditions"	hypoxanthine-DNA glycosylase	aag|yxlJ	SigW|SigB|SigG|		sigB|						3-alkylated purines and hypoxanthine DNA glycosidase
BSU19630	deoD	purine salvage and interconversion	purine nucleoside phosphorylase	deoD		deoD							purine nucleoside phosphorylase
BSU14700	nprE	degradation of proteins	extracellular neutral protease B	nprE	ScoC|	nprE		scoC|AbrB|TenA|PaiB|DegU|	TF|TF|unk|unk|TF-TC|	-1|-1|1|-1|1|	 @| @|unk|Polyamine::stress|unk|	nan|nan|-1|NaN|-1|	extracellular neutral metalloprotease
BSU26960	yraF	unknown	unknown	yraF	SigG|	yraGF-adhB-yraED	sigG|						putative spore coat protein
BSU20810	yopP	unknown	unknown	yopP									"putative phage integrase, phage SPbeta"
BSU25470	dnaK	protein quality control	class I heat-shock protein (molecular chaperone)	dnaK	SigA|	lepA-hemN-hrcA-grpE-dnaKJ-yqeTUV	sigA|	HrcA|ArfM|	TF+HrcA unstability|TF|	-1|NaN|	 @| @|	nan|nan|	molecular chaperone
BSU40010	yxaD	unknown	unknown	yxaD									putative transcriptional regulator (MarR family)
BSU06350	yebA	unknown	unknown	yebA									conserved hypothetical protein
BSU28330	ysnE	unknown	unknown	ysnE			sigE|	TnrA|	TF+P+M|	NaN|	Glutamine|	-1|	putative acetyltransferase
BSU20100	yosJ	unknown	unknown	yosJ									"hypothetical protein, phage SPbeta"
new_3346117_3347050_c	S1254	The antisense RNA of yfkN	intergenic region	S1254
new_1921866_1922524_c	S661	The antisense RNA of yfkM	independent transcript	S661
BSU28540	fadB	fatty acid degradation	3-hydroxyacyl-CoA dehydratase	fadB|ysiB	CcpA|	lcfA-ysiAB-etfBA	sigA|	FadR|CcpA|	TF+M|TF+PP+M|	-1|-1|	"Palmitoyl-CoA Oleoyl-CoA|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1|1 1|1 1|	enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase
new_4053373_4053453_c	S1519		intergenic region	S1519
BSU04070	ycsI	unknown	unknown	ycsI	SigA|TnrA|	ycsFGI-kipIAR-ycsK	sigK|	TnrA|KipR|	TF+P+M|TF+unk|	1|-1|	Glutamine|unk|	-1|nan|	conserved hypothetical protein
BSU38860	galE	galactose utilization	UDP glucose 4-epimerase	galE	SigA|	galE	sigA|						UDP-glucose 4-epimerase
BSU27250	mccB	methionine-to-cysteine conversion	cystathionine lyase/  homocysteine gamma-lyase	mccB|yrhB	CymR|	yrrT-mtn-yrhABC	sigK|sigA|	Spx|CymR|	TF+S|TF+P+M|	1|-1|	Thiol_specific_oxidative_stress::stress|O-acetyl-L-serine|	1|-1|	cystathionine gamma-lyase and homocysteine gamma-lyase for reverse transsulfuration pathway
BSU29840	ytpP	unknown	unknown	ytpP	SigA|			Spx|	TF+S|	1|	Thiol_specific_oxidative_stress::stress|	1|	putative thiol-disulfide oxidoreductase with thiredoxin domain
BSU20570	yoqN	unknown	unknown	yoqN									"hypothetical protein, phage SPbeta"
BSU04190	ydaD	unknown	unknown	ydaD	SigB|	ydaDEFG	sigB|						putative dehydrogenase
BSU32440	pucK	purine utilization	uric acid permease	pucK|yunK	SigB|TnrA|	pucRJKLM	sigA|	TnrA|PucR|	TF+P+M|TF+M|	1|1|	Glutamine|Allantoin Urate Allantoate|	-1|1 1 1|	uric acid permease
BSU15380	ylmE	control of the CoA pool	pyridoxal phosphate-binding protein	ylmE	Spo0A|			Spo0A|	TF+PP|	-1|	nan|	nan|	conserved hypothetical protein
BSU25770	spoIVCA	"excision of the skin element, creation of the sigK gene"	site-specific DNA recombinase	spoIVCA|cisA	SpoIIID|	spoIVCA	sigE|	SpoIIID|GerR|	TF|TF|	1|-1|	nan| @|	nan|nan|	site-specific DNA recombinase
BSU30440	ytrC	unknown	"ABC transporter (hydrophobic protein, probably channel protein)"	ytrC	YtrA|	ytrABCDEF	sigA|	YtrA|	TF-M|	-1|	Ramoplanin::stress|	-1|	"ABC transporter, permease component"
BSU12650	xkdK	unknown	unknown	xkdK	Xpf|	xtmAB-xkdEFGHIJKM	Xpf|						conserved hypothetical protein in phage element PBSX
BSU00290	yaaQ	unknown	c-di-AMP-binding PII-like protein	darA|yaaQ									conserved hypothetical protein
